name,artist,genre
Save the Last Dance for Me,The Drifters,soul-blues
Five Long Years,Freddie King,soul-blues
(I Can't Get No) Satisfaction,Otis Redding,soul-blues
I Ain't Superstitious,Howlin' Wolf,soul-blues
Stormy Weather,Etta James,soul-blues
You Don't Know My Name,Alicia Keys,soul-blues
Forty Days And Forty Nights,Muddy Waters,soul-blues
Hey Jude,Wilson Pickett,soul-blues
Further On Up The Road,Joe Bonamassa,soul-blues
End Of The Road,Boyz II Men,soul-blues
A Woman's Worth,Alicia Keys,soul-blues
Put Your Records On,Corinne Bailey Rae,soul-blues
Spooky,Dusty Springfield,soul-blues
You Make Me Feel Brand New,The Stylistics,soul-blues
You Got Me,The Roots,soul-blues
"One Bourbon, One Scotch, One Beer",John Lee Hooker,soul-blues
Tears in Heaven,Eric Clapton,soul-blues
"For the Love of You, Pts. 1 & 2",The Isley Brothers,soul-blues
Change the World,Eric Clapton,soul-blues
For the Love of Money,The O'Jays,soul-blues
Heard Them Stirring,Fleet Foxes,soul-blues
When I Was Your Man,Bruno Mars,soul-blues
She's Dynamite,B.B. King,soul-blues
Saint James Infirmary,Snooks Eaglin,soul-blues
You Know I'm No Good,Amy Winehouse,soul-blues
Endless Love,Lionel Richie,soul-blues
Try a Little Tenderness,Otis Redding,soul-blues
So Gone [What My Mind Says],Jill Scott,soul-blues
It Hurts Me Too,Elmore James,soul-blues
Respect,Otis Redding,soul-blues
Bad Habits,Maxwell,soul-blues
This Land Is Your Land,Sharon Jones & The Dap-Kings,soul-blues
If You Really Love Me,Stevie Wonder,soul-blues
Ascension (Don't Ever Wonder),Maxwell,soul-blues
Who's Been Talking?,Howlin' Wolf,soul-blues
Georgia On My Mind,Ray Charles,soul-blues
You Upset Me Baby,B.B. King,soul-blues
Mojo Hand,Lightnin' Hopkins,soul-blues
Good Lookin Woman,Muddy Waters,soul-blues
Before You Hit The Ground,Jonny Lang,soul-blues
Boogie Chillen,John Lee Hooker,soul-blues
Set Fire to the Rain,Adele,soul-blues
Bernadette,Four Tops,soul-blues
He's the Greatest Dancer,Sister Sledge,soul-blues
Crawlin' King Snake,John Lee Hooker,soul-blues
Fistful of Tears,Maxwell,soul-blues
Drift Away,Dobie Gray,soul-blues
I Want to Take You Higher,Sly & The Family Stone,soul-blues
The Way You Do The Things You Do,The Temptations,soul-blues
Dangerous Mood,B.B. King,soul-blues
Caught up in the Rapture,Anita Baker,soul-blues
Howlin' For You,The Black Keys,soul-blues
Hometown Glory,Adele,soul-blues
Rock Your Baby,George McCrae,soul-blues
The Way,Jill Scott,soul-blues
Evil (Is Going On),Howlin' Wolf,soul-blues
Ordinary People,John Legend,soul-blues
Respect Yourself,The Staple Singers,soul-blues
Ragged Wood,Fleet Foxes,soul-blues
Ain't That Peculiar,Marvin Gaye,soul-blues
Give Me Back My Wig,Stevie Ray Vaughan,soul-blues
Love That Girl,Raphael Saadiq,soul-blues
My Lover's Prayer,Otis Redding,soul-blues
Needle In A Haystack,The Velvelettes,soul-blues
Can't Let Go,Anthony Hamilton,soul-blues
Old Love,Eric Clapton,soul-blues
The Same Thing,Muddy Waters,soul-blues
