name,artist,genre
Trio Op. 17: I. Allegro moderato,Clara Schumann,classical-opera
"Nel blu, dipinto di blu",Domenico Modugno,classical-opera
La belle Hélène / Act 1: Au mont Ida...Le jugement de Paris,Jacques Offenbach,classical-opera
Preludes: La colombe (The Dove),Olivier Messiaen,classical-opera
Live Like Horses,Elton John,classical-opera
Fidelio op.72,Ludwig van Beethoven,classical-opera
Concerto For Piano And Orchestra: 2. Presto,Witold Lutosławski,classical-opera
Vaughan Williams: The Lark Ascending: Opening (Excerpt),Ralph Vaughan Williams,classical-opera
Santa Lucia luntana,Ermes Alessandro Mario,classical-opera
"2 Swedish Folk-Melodies, Op. 27: No. 1 Allt under himmelens faste: Adagio",Johan Svendsen,classical-opera
Because,Guy d' Hardelot,classical-opera
The Green Mile,Thomas Newman,classical-opera
"Puccini: La rondine, Act 1: ""Chi il bel sogno di Doretta"" (Magda)",Giacomo Puccini,classical-opera
"Pagliacci / Act 1: ""Vesti la giubba""",Ruggiero Leon-cavallo,classical-opera
"Three Romances for Violin & Piano, Op. 22: III. Leidenschaftlich schnell",Clara Schumann,classical-opera
6 Lieder Op. 34 (2006 Digital Remaster): Auf Flügeln des Gesanges (wds. Heine),Felix Mendelssohn,classical-opera
"Don Giovanni, ossia Il dissoluto punito, K.527: Overture",Wolfgang Amadeus Mozart,classical-opera
"Carmen, Act I, No.2 : Scène et Choeur: Sur la place, chacun passe, chacun vient, chacun va (Moralès/Dragons)",Ludovic Tézier/Choeur 'Les Elements'/Orchestre National du Capitole de Toulouse/Michel Plasson,classical-opera
"La Bohème / Act 3: ""Sa dirmi, scusi""",Giacomo Puccini,classical-opera
Hero,Mariah Carey,classical-opera
"Carmen, Act III, No.20 Trio: En vain pour éviter (Carmen)",Angela Gheorghiu,classical-opera
"Verdi: Messa da Requiem: II. Sequence, 1. Dies irae (Chorus)",Giuseppe Verdi,classical-opera
Fantasia on Greensleeves,Ralph Vaughan Williams,classical-opera
"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",Georges Bizet,classical-opera
"Carmen, Act III: Air: Je dis que rien ne m'épouvante (Micaëla)",Inva Mula/Orchestre National du Capitole de Toulouse/Michel Plasson,classical-opera
"Carmen, Act II, No.17 Duo (continued...): Non! je ne veux plus t'écouter! (Don José/Carmen)",Angela Gheorghiu,classical-opera
"Der Rosenkavalier (highlights), Act III: Marie Theres'...Hab' mir's gelobt (Closing Trio) (Octavian, Marschallin, Sophie)...",Richard Strauss,classical-opera
Opus 20,Dustin O'Halloran,classical-opera
"Le Quattro Stagioni: Violin Concerto No. 1 in E Major, Op. 8, RV 269, ""La primavera"": I. Allegro",Antonio Vivaldi,classical-opera
Verdi: Aida: Prelude,Giuseppe Verdi,classical-opera
"Carmen, Act I: No.10 Séguidille et Duo : Près des ramparts de Séville (Carmen/Don José)",Angela Gheorghiu,classical-opera
"L Arlesiana: E' la Solita Storia Del Pastore, Acto II",Francesco Cilea,classical-opera
"La Bohème / Act 1: ""Che gelida manina""",Giacomo Puccini,classical-opera
"Becoming one of ""The People"" Becoming one with Neytiri",James Horner,classical-opera
"Schoenberg: Verklärte Nacht, Op. 4: I. Grave",Arnold Schoenberg,classical-opera
Parsifal: Act I: Prelude,Richard Wagner,classical-opera
Gianni Schicchi (1987,Giacomo Puccini,classical-opera
"Bizet: Carmen, WD 31, Act 4 Scene 2: No. 27, Duo, ""C'est toi! C'est moi!""",Georges Bizet,classical-opera
Core 'ngrato,Salvatore Cardillo,classical-opera
"Carmen, Act II, No.17 Duo (continued...): La-la-la-la / Attends un peu, Carmen (Carmen/Don José)",Angela Gheorghiu,classical-opera
"Mozart: Don Giovanni, Act 1: ""Dalla sua pace"" (Don Ottavio)",Wolfgang Amadeus Mozart,classical-opera
"Symphony No. 3 ""Eroica"": I. Allegro con brio",Ludwig van Beethoven,classical-opera
Holy Mother,Eric Clapton,classical-opera
"La Bohème / Act 1: ""Questo Mar Rosso""",Giacomo Puccini,classical-opera
"Verdi: Aida, Act 1: ""I sacri nomi di padre, d'amante"" (Aida)",Giuseppe Verdi,classical-opera
Gnossienne: No. 2,Erik Satie,classical-opera
O Sole Mio,Luciano Pavarotti,classical-opera
The Merry Widow (Die lustige Witwe) / Act 2: Lippen schweigen,Franz Lehár,classical-opera
Da pacem Domine,Arvo Pärt,classical-opera
"Gottes Zeit ist die allerbeste Zeit, BWV 106 (Arr. G. Kurtag for Piano Duo)",György Kurtág,classical-opera
Volare,Domenico Modugno,classical-opera
"Tosca / Act 1: ""Recondita armonia""",Giacomo Puccini,classical-opera
Orb And Sceptre,William Walton,classical-opera
Rhapsody on Moldavian Themes Op. 47 No. 3,Mieczysław Weinberg,classical-opera
"The Magic Flute, K. 620, Act II: ""Der Hölle Rache kocht in meinem Herzen""",Wolfgang Amadeus Mozart,classical-opera
"La Bohème, ACT4: O Mimì, tu più non torni",Giacomo Puccini,classical-opera
"Carmen, Act III, No.20 Trio: Voyons que j'essaie à mon tour (Carmen)",Angela Gheorghiu,classical-opera
Pie Jesu,Sarah Brightman,classical-opera
La traviata: Act I: Dell' invito trascorsa è già l'ora,Giuseppe Verdi,classical-opera
"Parlami d'amore, Mariù",Cesare Andrea Bixio,classical-opera
"Carmen, Act III, No.20 Trio: Mêlons! Coupons! (Frasquita/Mercédès)",Elisabeth Vidal,classical-opera
Symphony No.6 In A Minor: 2. (3.) Andante moderato,Gustav Mahler,classical-opera
The Departure,Max Richter,classical-opera
