name,artist,genre
Us,Regina Spektor,soundtracks
Underwater March,Klaus Badelt,soundtracks
Healing Incantation,Mandy Moore,soundtracks
Llovera,Mia Maestro,soundtracks
The Trolls,Christophe Beck,soundtracks
Main Title (I Had A Farm In Africa),John Barry,soundtracks
I Just Can't Wait to Be King,Jason Weaver,soundtracks
Lonesome Town,Ricky Nelson,soundtracks
Twilight and Shadow (feat. Renee Fleming),Howard Shore,soundtracks
Honor Him,Hans Zimmer,soundtracks
Bad Kids,Black Lips,soundtracks
Onward and Upward,Christophe Beck,soundtracks
Andúril,Howard Shore,soundtracks
I See Fire,Ed Sheeran,soundtracks
Dark Days,Punch Brothers,soundtracks
Liz On Top Of The World,Jean-Yves Thibaudet,soundtracks
Epilogue,Christophe Beck,soundtracks
Solomon Vandy,James Newton Howard,soundtracks
Shieldmaiden of Rohan,Howard Shore,soundtracks
Pure spirits of the forest,James Horner,soundtracks
Deciphering the Signal,Steve Jablonsky,soundtracks
Roots and Beginnings,Howard Shore,soundtracks
"""I can't see you anymore""",James Horner,soundtracks
Ad Arcana,Hans Zimmer,soundtracks
The Foot of Orthanc,Howard Shore,soundtracks
Fog Bound,Klaus Badelt,soundtracks
For Frodo (feat. Ben del Maestro),Howard Shore,soundtracks
The Prince Of Persia,Harry Gregson-Williams,soundtracks
Final Fantasy VIII: Liberi Fatali,Nobuo Uematsu,soundtracks
Jake's first flight,James Horner,soundtracks
Obliviate,Alexandre Desplat,soundtracks
Under the Sea,Samuel E. Wright,soundtracks
Merry's Simple Courage,Howard Shore,soundtracks
Call Of Duty: MW3,Brian Tyler,soundtracks
Overture,Daft Punk,soundtracks
Battlefield 2: Theme,Joel Eriksson,soundtracks
Winter's Waltz,Christophe Beck,soundtracks
El Tango De Roxanne,José Feliciano,soundtracks
Hans' Kiss,Christophe Beck,soundtracks
Popular,Stephen Schwartz,soundtracks
"The Rock (From ""The Rock"")",The City of Prague Philharmonic Orchestra,soundtracks
Statues,Alexandre Desplat,soundtracks
Heimr Àrnadalr,Christophe Beck,soundtracks
In the House,London Music Works,soundtracks
Speak Up,POP ETC,soundtracks
Parlay,Hans Zimmer,soundtracks
Evacuating London,Harry Gregson-Williams,soundtracks
Because We Can,Fatboy Slim,soundtracks
Rise,Hans Zimmer,soundtracks
Poor Jack,Danny Elfman,soundtracks
Marshalling at Dunharrow,Howard Shore,soundtracks
Bumblebee Captured,Steve Jablonsky,soundtracks
The Protector Of Rome,Hans Zimmer,soundtracks
Arrival To Netherfield,Jean-Yves Thibaudet,soundtracks
"Please, Please, Please, Let Me Get What I Want",She & Him,soundtracks
Dexter Main Title,Rolfe Kent,soundtracks
The Grid,Daft Punk,soundtracks
The Battle of the Pelennor Fields,Howard Shore,soundtracks
Royal Pursuit,Christophe Beck,soundtracks
"Injection (From ""Mission: Impossible II"")",London Music Works,soundtracks
Autobots,Steve Jablonsky,soundtracks
Return to Edoras,Howard Shore,soundtracks
The Wedding,James Horner,soundtracks
I'll Make a Man Out of You,Donny Osmond,soundtracks
The Passing of the Grey Company,Howard Shore,soundtracks
Fate And Destiny,Patrick Doyle,soundtracks
You go we go,Hans Zimmer,soundtracks
Precious Cargo,Steve Jablonsky,soundtracks
Barbarian Horde,Hans Zimmer,soundtracks
Don't You (Forget About Me),Simple Minds,soundtracks
