name,artist,genre
Silvertongue,Young the Giant,rock
(I Can't Get No) Satisfaction,The Rolling Stones,rock
Take on the World,You Me At Six,rock
Lydia,Highly Suspect,rock
Higher,Creed,rock
Mexican Fender,Weezer,rock
Even Flow,Pearl Jam,rock
"""99""",Barns Courtney,rock
Good Christian Man,Have Mercy,rock
Any Way You Want It,Journey,rock
Still Counting,Volbeat,rock
Slow Burn,State Champs,rock
Don't Speak,No Doubt,rock
Bad Medicine,Bon Jovi,rock
School's Out,Alice Cooper,rock
Moth Into Flame,Metallica,rock
In The End,Black Veil Brides,rock
Yellow,Coldplay,rock
Ziggy Stardust,David Bowie,rock
Black Water,The Doobie Brothers,rock
Mrs. Robinson,Simon & Garfunkel,rock
She's Kerosene,The Interrupters,rock
American Idiot,Green Day,rock
Inside the Fire,Disturbed,rock
Crazy,Aerosmith,rock
Champagne Supernova,Oasis,rock
Coming Undone,Korn,rock
The Weight,The Band,rock
Die MF Die,Dope,rock
Stronger,The Score,rock
Sex on Fire,Kings of Leon,rock
Aces High,Iron Maiden,rock
Walk On the Wild Side,Lou Reed,rock
The Passenger,Iggy Pop,rock
You Give Love A Bad Name,Bon Jovi,rock
Song On Fire,Nickelback,rock
Round and Round,Ratt,rock
Bottom Of The Deep Blue Sea,MISSIO,rock
Free Bird,Lynyrd Skynyrd,rock
Coexist,Have Mercy,rock
One Last Breath,Creed,rock
Black Magic,The Amazons,rock
The Stroke,Billy Squier,rock
Thnks fr th Mmrs,Fall Out Boy,rock
Bitch Came Back,Theory of a Deadman,rock
Last Resort,Papa Roach,rock
Black Francis,The Orwells,rock
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,rock
Is There Anybody out There?,Machine Head,rock
All These Things That I've Done,The Killers,rock
Wonderwall,Oasis,rock
Go Your Own Way,Fleetwood Mac,rock
Runnin' with the Devil,Van Halen,rock
Red Cold River,Breaking Benjamin,rock
House On Fire,Rise Against,rock
Re-Education (Through Labor),Rise Against,rock
What If I Was Nothing,All That Remains,rock
Happy With You,Paul McCartney,rock
Carry on Wayward Son,Kansas,rock
Hemorrhage (In My Hands),Fuel,rock
What's My Age Again?,blink-182,rock
Dreams,Fleetwood Mac,rock
