name,artist,genre
Danger: Wildman,The Devil Wears Prada,metal
Kill or Become,Cannibal Corpse,metal
Mariana's Trench,August Burns Red,metal
Warriors,Freedom Call,metal
Sacrifice,Bathory,metal
Slaughter Of The Soul,At The Gates,metal
Here I Go Again,Whitesnake,metal
Paradox,August Burns Red,metal
Cromlech,Darkthrone,metal
Still Counting,Volbeat,metal
Dead Man's Chest,Parkway Drive,metal
Fra vadested til vaandesmed,Taake,metal
K.I.N.G,Satyricon,metal
Abigail,Motionless In White,metal
Last Man Standing,Hammerfall,metal
A Succubus In Rapture,Dimmu Borgir,metal
Keep On Rotting In The Free World,Carcass,metal
Battle Hymn,Manowar,metal
Carving A Giant,Gorgoroth,metal
The House of Wolves,Bring Me The Horizon,metal
Stabbing the Drama,Soilwork,metal
Prove Me Right,Memphis May Fire,metal
Dez Moines,The Devil Wears Prada,metal
Mikasa,Veil Of Maya,metal
Wrath of the Tyrant,Emperor,metal
Deathbeds,Bring Me The Horizon,metal
Follow The Reaper,Children Of Bodom,metal
House Of Sleep,Amorphis,metal
No More Regrets,Arch Enemy,metal
The Trooper,Iron Maiden,metal
(Weird) Manheim,Mayhem,metal
Still Echoes,Lamb of God,metal
Mephistopheles,Deicide,metal
Masses Of A Dying Breed,Miss May I,metal
Trapped In A Corner,Death,metal
Blacklist,Bring Me The Horizon,metal
White Washed,August Burns Red,metal
Wait and Bleed,Slipknot,metal
Sparks,Parkway Drive,metal
Indonesia,August Burns Red,metal
En Ring Til Aa Herske,Burzum,metal
Bark at the Moon,Ozzy Osbourne,metal
Effigy of the Forgotten,Suffocation,metal
Pressures,Parkway Drive,metal
Mass Obliteration,Suffocation,metal
Mentally Blind,Death,metal
Mother,Danzig,metal
Man On The Silver Mountain,Rainbow,metal
Armageddon,Bathory,metal
I En Hall Med Flesk Og Mjod,Darkthrone,metal
"Hey John, What's Your Name Again?",The Devil Wears Prada,metal
Cusp Of Eternity,Opeth,metal
The IVth Crusade,Bolt Thrower,metal
Unanswered,Suicide Silence,metal
Caught In A Mosh,Anthrax,metal
Join The Club,Bring Me The Horizon,metal
Shadows Over Transylvania,Dark Funeral,metal
Explosia,Gojira,metal
Pure Holocaust,Immortal,metal
Physical Education,Animals As Leaders,metal
Den Onde Kysten,Burzum,metal
Five Months,Parkway Drive,metal
Supposed To Rot,Entombed,metal
Ocean of Apathy,August Burns Red,metal
Lepers Among Us,Dimmu Borgir,metal
Tread Lightly,Mastodon,metal
I Want Out,Helloween,metal
Krig,Gorgoroth,metal
Love?,Strapping Young Lad,metal
A Greater Foundation,As I Lay Dying,metal
Death Breath,Bring Me The Horizon,metal
Boneyards,Parkway Drive,metal
Naar Himmelen Klarner,Burzum,metal
No Love Lost,Carcass,metal
The End of Heartache,Killswitch Engage,metal
O.G. Loko,Of Mice & Men,metal
One Man Army,Ensiferum,metal
Of Matter – Proxy,TesseracT,metal
Progenies Of The Great Apocalypse,Dimmu Borgir,metal
War Eternal,Arch Enemy,metal
Funeral Fog,Mayhem,metal
Sinne missä aamu sarastaa,Mokoma,metal
Mother War,Decapitated,metal
Heaven and Hell,Black Sabbath,metal
Vredesbyrd,Dimmu Borgir,metal
Freezing Moon,Mayhem,metal
Lack of Comprehension,Death,metal
Brave This Storm,Trivium,metal
Colossal,Miss May I,metal
One By One,Immortal,metal
Leveler,August Burns Red,metal
Dark Days,Parkway Drive,metal
"Hook, Line and Sinner",Texas In July,metal
Punishment Through Time,Paradise Lost,metal
"I, Dementia",Whitechapel,metal
Sleight of Hand,Parkway Drive,metal
Liege of Inveracity,Suffocation,metal
Eagleheart,Stratovarius,metal
Puritania,Dimmu Borgir,metal
I Am Abomination,1349,metal
Limits to Infinity,Scar Symmetry,metal
Territory,Sepultura,metal
Second Skin,Dying Fetus,metal
Walk,Pantera,metal
Hollow,Parkway Drive,metal
Iron Man,Black Sabbath,metal
