name,artist,genre
Stubborn Love,The Lumineers,singer-songwriter
Circles,Passenger,singer-songwriter
Sweet Love,Matt White,singer-songwriter
From Galway to Graceland,Richard Thompson,singer-songwriter
Sooner Or Later,Mat Kearney,singer-songwriter
She,Elvis Costello,singer-songwriter
Letter,Alana Davis,singer-songwriter
re:stacks,Bon Iver,singer-songwriter
It's On Again,Alicia Keys,singer-songwriter
Metallic Cloud,Damien Jurado,singer-songwriter
I'd Rather Be With You [Radio Edit],Joshua Radin,singer-songwriter
Beautiful Storm,Heather Nova,singer-songwriter
Never Say Never,The Fray,singer-songwriter
The Way I Am,Ingrid Michaelson,singer-songwriter
Show talked windows,Sumie,singer-songwriter
Paper Aeroplane,Angus & Julia Stone,singer-songwriter
Mangé pou le coeur,Piers Faccini,singer-songwriter
"Lisbon, OH",Bon Iver,singer-songwriter
You`ve Got A Friend,London Heritage Orchestra,singer-songwriter
Sunburn,Ed Sheeran,singer-songwriter
Video Games,Lana Del Rey,singer-songwriter
Almost Lover,A Fine Frenzy,singer-songwriter
Somebody That I Used To Know,Gotye,singer-songwriter
Black Books,Nils Lofgren,singer-songwriter
Strawberry Blonde,Ron Sexsmith,singer-songwriter
Countrified Inner City Technological Man,Chuck Prophet,singer-songwriter
Piece of My Heart,Janis Joplin,singer-songwriter
Captain Jack,Billy Joel,singer-songwriter
Rainbow,Robert Plant,singer-songwriter
I Remember,Damien Rice,singer-songwriter
Home Again,Michael Kiwanuka,singer-songwriter
Beth/Rest,Bon Iver,singer-songwriter
Wildflowers,Tom Petty,singer-songwriter
Feel It All,KT Tunstall,singer-songwriter
Road,Nick Drake,singer-songwriter
Carousel,Vanessa Carlton,singer-songwriter
Home,Phillip Phillips,singer-songwriter
Follow You Down,The New Mendicants,singer-songwriter
Waiting On the World to Change,John Mayer,singer-songwriter
Orange Sky,Alexi Murdoch,singer-songwriter
Take Me to Church,Sinéad O'Connor,singer-songwriter
Perfect Day,Lou Reed,singer-songwriter
Love Is A Verb,John Mayer,singer-songwriter
Pine Trees,Jake Bugg,singer-songwriter
Sometimes There's God,John Mellencamp,singer-songwriter
Possibility Days,Counting Crows,singer-songwriter
Pink Moon,Nick Drake,singer-songwriter
Made Of Stone,Matt Corby,singer-songwriter
Tapestry,Carole King,singer-songwriter
Young Turks,Rod Stewart,singer-songwriter
Don't Know Why,Norah Jones,singer-songwriter
Lucky Now,Ryan Adams,singer-songwriter
We Don't Eat,James Vincent McMorrow,singer-songwriter
Passion Play,William Fitzsimmons,singer-songwriter
I Kissed a Girl,Jill Sobule,singer-songwriter
Diamonds And Rust,Joan Baez,singer-songwriter
On My Way Back,Tony Dekker,singer-songwriter
Sister Golden Hair,America,singer-songwriter
"Gone, Gone, Gone",Phillip Phillips,singer-songwriter
Change of Time,Josh Ritter,singer-songwriter
New Shoes,Paolo Nutini,singer-songwriter
One of These Nights,Eagles,singer-songwriter
Ridgetop,Jesse Colin Young,singer-songwriter
Valentine,Fiona Apple,singer-songwriter
Born and Raised,John Mayer,singer-songwriter
Black Flies,Ben Howard,singer-songwriter
Place To Be,Nick Drake,singer-songwriter
Ohio,Patty Griffin,singer-songwriter
Flametop Green,Daniel Lanois,singer-songwriter
Wenn Du nicht so geil wärst,Peter Wolf,singer-songwriter
Make a Move,Gavin DeGraw,singer-songwriter
Make You Feel My Love,Adele,singer-songwriter
Coconut,Harry Nilsson,singer-songwriter
What If You,Joshua Radin,singer-songwriter
Living in the Moment,Jason Mraz,singer-songwriter
In Your Atmosphere,John Mayer,singer-songwriter
Earthquake Weather,Matt Nathanson,singer-songwriter
Both Sides Now,Judy Collins,singer-songwriter
Wall of Death,Richard Thompson,singer-songwriter
This Years Love,David Gray,singer-songwriter
All In My Head,Shawn Mullins,singer-songwriter
Givin' It Back,Christine McVie,singer-songwriter
Forever,Ben Harper,singer-songwriter
Monday Morning,Kathryn Williams,singer-songwriter
Down Under 2012,Colin Hay,singer-songwriter
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,singer-songwriter
Macarthur Park (feat. Background vocals by Brian Wilson),Jimmy Webb,singer-songwriter
Tamalpais High (At About 3),David Crosby,singer-songwriter
One,Ed Sheeran,singer-songwriter
Awake My Soul,Mumford & Sons,singer-songwriter
Edge of Desire,John Mayer,singer-songwriter
Never Had Nobody Like You (Featuring Zooey Deschanel),M. Ward,singer-songwriter
Museum Of Flight,Damien Jurado,singer-songwriter
The A Team,Ed Sheeran,singer-songwriter
Hometown Glory,Adele,singer-songwriter
The Weakness In Me,Joan Armatrading,singer-songwriter
Pictures,Benjamin Francis Leftwich,singer-songwriter
The Wolves,Ben Howard,singer-songwriter
Fools Gold,Simon Paul,singer-songwriter
Jenny Don't Be Hasty,Paolo Nutini,singer-songwriter
If The Creek Don’t Rise,Dylan LeBlanc,singer-songwriter
Cannonball,Damien Rice,singer-songwriter
Carey,Joni Mitchell,singer-songwriter
Tomorrow Is Gonna Be Better,Joshua Radin,singer-songwriter
I Won't Give Up,Jason Mraz,singer-songwriter
I Can’t Make You Love Me/Nick Of Time,Bon Iver,singer-songwriter
Maggie May,Rod Stewart,singer-songwriter
Save Me,Aimee Mann,singer-songwriter
In Love With a Girl,Gavin DeGraw,singer-songwriter
Nice Guys,Colbie Caillat,singer-songwriter
You're the One That I Want,Angus & Julia Stone,singer-songwriter
